position selCoef originGen type freq
691 0.109951 7999 m2 0.0005
1673 -0.0890004 7997 m2 0.0005
2834 0.0124168 7997 m2 0.0005
4737 -0.188807 7995 m2 0.002
6922 -0.16333 8000 m2 0.0005
11290 -0.0281651 7998 m2 0.0015
13819 0.0316385 8000 m2 0.0005
16350 0.0066263 8000 m2 0.0005
19137 -0.0694731 7997 m2 0.003
19900 0.0185038 7991 m2 0.004
22233 0.0529044 7998 m2 0.001
28344 0.151478 7998 m2 0.001
29190 -0.0370204 7992 m2 0.0015
30530 -0.0252507 7997 m2 0.002
33399 0.0985204 7997 m2 0.0005
33512 -0.0322333 7917 m2 0.0015
37190 -0.115162 7999 m2 0.001
38013 0.125582 8000 m2 0.0005
41614 -0.00106118 7988 m2 0.0005
101932 -0.14378 8000 m2 0.0005
102160 0.000486775 8000 m2 0.0005
102516 0.0646855 7996 m2 0.0005
105378 -0.0395085 7911 m2 0.009
106424 0.105343 8000 m2 0.0005
108494 0.116897 7759 m2 0.076
109214 -0.0104147 7989 m2 0.0045
109240 -0.0786356 7866 m2 0.0545
112965 0.175418 7998 m2 0.0005
113710 -0.172839 7993 m2 0.0015
114082 0.0968006 7998 m2 0.0005
118842 0.0572485 7973 m2 0.001
119830 0.000407973 7999 m2 0.0005
121310 -0.0174067 7998 m2 0.001
123811 -0.157944 7989 m2 0.0005
124167 0.0599166 8000 m2 0.0005
126692 -0.171547 8000 m2 0.0005
126802 0.114529 8000 m2 0.0005
126848 0.110319 7998 m2 0.0005
127632 0.237713 8000 m2 0.0005
129927 0.0632291 7995 m2 0.0025
137017 -0.115567 8000 m2 0.0005
138349 -0.0278957 7998 m2 0.0005
139310 -0.0965018 7998 m2 0.0005
140245 0.144625 7959 m2 0.003
140964 -0.152788 8000 m2 0.0005
141084 -0.2114 7996 m2 0.0015
143608 0.0771953 8000 m2 0.0005
143711 -0.236606 7992 m2 0.002
144065 -0.15396 7997 m2 0.003
144618 -0.142259 8000 m2 0.0005
145238 0.029608 7995 m2 0.0005
146057 0.0275849 8000 m2 0.0005
146455 -0.158918 7998 m2 0.0005
149517 0.0314265 7901 m2 0.0015
202720 0.067519 7999 m2 0.0005
209402 -0.0554995 8000 m2 0.0005
209945 -0.11538 7997 m2 0.0015
212632 0.0843562 7998 m2 0.0035
212970 -0.0917794 7999 m2 0.0005
214299 -0.0246633 8000 m2 0.0005
214537 -0.085625 7978 m2 0.0045
214832 -0.0518871 7999 m2 0.0005
214933 -0.160605 8000 m2 0.0005
215051 -0.110439 8000 m2 0.0005
215323 0.0749126 8000 m2 0.0005
216217 -0.0785347 7999 m2 0.0005
225835 0.0826618 8000 m2 0.0005
228226 -0.024133 7999 m2 0.0005
233528 -0.0683041 8000 m2 0.0005
237198 0.00601018 7989 m2 0.0005
238516 -0.0332445 8000 m2 0.0005
242250 -0.0391399 7999 m2 0.001
242481 -0.0254734 8000 m2 0.0005
245365 0.0743007 7999 m2 0.0005
246634 0.0943528 7990 m2 0.0005
300604 0.0395828 7999 m2 0.0005
301388 0.00959313 7887 m2 0.0235
303045 0.117863 8000 m2 0.0005
303425 -0.116889 8000 m2 0.0005
304808 0.053966 8000 m2 0.0005
306931 0.0030529 8000 m2 0.0005
312613 0.0321869 8000 m2 0.0005
313079 0.00055401 8000 m2 0.0005
314791 0.00550295 8000 m2 0.0005
315878 0.125095 7998 m2 0.001
316122 -0.000325438 7997 m2 0.0015
318824 0.0680451 8000 m2 0.0005
320196 0.0219832 7994 m2 0.0005
320373 0.136572 7990 m2 0.0015
321095 0.0222428 7941 m2 0.0115
322236 -0.0660283 7992 m2 0.0015
322896 -0.0654406 7989 m2 0.002
325164 -0.00317218 8000 m2 0.0005
326162 0.0339665 7997 m2 0.0005
327026 -0.194422 8000 m2 0.0005
327208 -0.0247354 8000 m2 0.0005
327767 0.0654666 7996 m2 0.001
328275 -0.0452583 8000 m2 0.0005
329313 -0.0591714 8000 m2 0.0005
329440 0.0546568 7969 m2 0.0025
331489 -0.0520279 8000 m2 0.0005
332813 0.0956309 7999 m2 0.001
333342 0.0108265 7999 m2 0.001
335763 0.0968334 7999 m2 0.001
337657 0.0877173 7998 m2 0.0015
342023 -0.024714 8000 m2 0.0005
348035 0.0611518 7343 m2 0.589
348074 -0.00574594 8000 m2 0.0005
348697 0.0542897 7967 m2 0.012

