sim.generation	sample_size	mean_phen0	sd_phen0	corr0_1	corr0_2	mean_phen1	sd_phen1	corr1_1	corr1_2
200	77	0.00466517	0.270928	0.0494795	-0.0483797	-0.00802869	0.236514	0.0275076	0.0279193
400	70	0.0131526	0.263606	0.0136645	-0.0339316	-0.0236285	0.273257	0.040164	0.00437007
600	64	-0.00882201	0.207456	-0.0157841	0.0163108	0.00835815	0.238855	-0.00430216	-0.0402265
800	75	-0.0966644	0.293681	-0.0578596	0.0492606	-0.0266691	0.270772	-0.000406959	0.0433494
1000	79	-0.167129	0.287021	-0.0607637	0.0307638	-0.0402155	0.306788	0.00914854	-0.0139817
1200	79	0.0447062	0.271976	0.0178983	0.0382402	-0.178378	0.245304	-0.0235057	0.0484714
1400	58	0.108861	0.259108	-0.00996922	-0.0238341	-0.0949686	0.193724	-0.0777827	-0.0707877
1600	73	0.0945225	0.249101	-0.0201381	-0.0549969	0.0814621	0.277231	-0.0390833	0.0232503
1800	89	0.0708624	0.311195	-0.015991	0.0635437	0.0498272	0.289589	0.0130244	-0.0117643
2000	67	0.0391672	0.207328	-0.0318025	0.0342045	0.0327004	0.211482	-0.0263743	0.056618
2200	79	0.0490202	0.278992	-0.0178103	0.0229684	0.0282668	0.248331	-0.0335895	0.0402011
2400	72	0.0249892	0.263632	-0.047986	-0.0111457	-0.000695368	0.249419	-0.0276521	-0.00389543
2600	83	-0.111716	0.235921	0.0153656	0.0551504	-0.0643422	0.316178	-0.023656	0.0371744
2800	94	-0.0527404	0.293488	-0.0219461	-0.042329	0.0331576	0.299616	0.040959	0.0660409
3000	71	-0.027697	0.212248	-0.01506	-0.0129723	-0.0103716	0.29004	0.0236704	0.0118634
3200	69	-0.0182945	0.293028	-0.00263795	-0.0226245	0.0517292	0.24736	0.0650699	-0.0378031
3400	98	0.0255428	0.292189	0.0009131	-0.00406052	0.0516061	0.272272	0.0309161	-0.0185706
3600	74	0.1172	0.204432	0.0206625	0.00610271	0.10776	0.249378	-0.00529667	0.00133038
3800	81	0.0949736	0.245739	-0.0549574	0.0132105	-0.0381763	0.248536	0.0224439	-0.00682132
4000	92	-0.0236909	0.276521	0.00791776	0.0649405	-0.0681144	0.276225	-0.00324842	-0.00640042
4200	149	-0.14844	0.574576	0.17985	-0.0224078	-0.0220461	0.735084	-0.0143275	0.339123
4400	143	-0.154601	0.621732	0.309373	0.044841	-0.0212876	0.611709	0.051933	0.355878
4600	160	-0.026111	0.456573	0.133449	-0.0404448	-0.0370829	0.665907	-0.00210326	0.333652
4800	169	-0.0498762	0.662477	0.254737	-0.0143817	-0.143957	0.502629	0.0594877	0.26122
5000	168	-0.109441	0.618149	0.282288	0.0739476	-0.0155203	0.630266	0.0803166	0.312163
5200	179	-0.259992	0.603625	0.23527	-0.0305333	-0.138127	0.676263	-0.0261122	0.315306
5400	188	-0.166296	0.623519	0.281607	-0.0153788	-0.181086	0.510908	0.0364831	0.271276
5600	205	-0.182206	0.445614	0.116395	-0.111556	0.0146367	0.5846	-0.0821258	0.297526
5800	185	-0.229839	0.516397	0.229931	-0.0724792	-0.134192	0.61565	-0.00545067	0.309487
6000	205	-0.0983273	0.59393	0.244362	-0.0476488	-0.0598115	0.600056	-0.103944	0.276613
6200	214	-0.247234	0.589317	0.314114	0.0302462	-0.0417498	0.663583	0.0141891	0.326037
6400	222	-0.0484312	0.551249	0.18286	-0.0237107	-0.299115	0.576528	0.0326435	0.306067
6600	225	-0.241096	0.537889	0.209565	-0.0373297	-0.105012	0.525808	0.0209959	0.272628
6800	220	-0.375493	0.564678	0.281315	-0.124695	-0.284618	0.583589	-0.0502325	0.30313
7000	249	-0.249745	0.524086	0.238228	0.0341053	-0.0772051	0.667081	-0.018185	0.330974
7200	243	-0.229403	0.533108	0.321925	-0.0263868	0.0960361	0.824756	-0.0209824	0.393433
7400	262	-0.204332	0.6391	0.2652	-0.113304	-0.15191	0.691492	-0.0701369	0.393762
7600	278	-0.015074	0.5378	0.216222	0.0164229	-0.127432	0.647572	0.114447	0.342198
7800	266	-0.065469	0.563369	0.185818	-0.0852446	0.0598665	0.704252	-0.029304	0.309968
8000	297	-0.253559	0.580295	0.322209	-0.0573706	0.0615688	0.565515	-0.0673476	0.316528
