sim.generation	sample_size	mean_phen0	sd_phen0	corr0_1	corr0_2	mean_phen1	sd_phen1	corr1_1	corr1_2
200	78	-0.00496686	0.268399	0.0335835	-0.0163004	-0.0120134	0.221108	-0.0303336	0.0103828
400	71	-0.0305326	0.23248	0.00165982	0.0161181	-0.00171318	0.265651	-0.0200335	-0.0322648
600	73	-0.0399654	0.238106	0.0465809	-0.00877318	-0.0249282	0.197239	-0.0606621	-0.0241637
800	87	0.201576	0.294377	0.059106	0.0186102	-0.106615	0.255607	-0.0151012	-0.0515373
1000	65	0.0122003	0.271168	-0.0596049	-0.0448702	-0.0349742	0.231601	0.026665	0.0137591
1200	74	-0.0257627	0.302632	0.0380185	0.0261316	-0.0519632	0.245093	0.0343333	0.0317296
1400	69	0.0506378	0.263079	0.00372747	-0.0369452	-0.0812335	0.25048	-0.0289573	-0.025091
1600	106	0.00634913	0.321284	-0.0274569	-0.00867553	-0.119954	0.281027	0.0456855	0.0452138
1800	86	0.028329	0.314456	0.0154778	0.02344	0.0133798	0.3293	0.00947379	0.0645885
2000	80	0.221778	0.288947	-0.0146831	-0.0156572	0.0766074	0.323986	0.0163985	-0.0260173
2200	88	-0.0803242	0.313357	-0.00367476	0.0488955	-0.00715006	0.378667	0.0361745	0.0296349
2400	70	0.0144228	0.308346	-0.0457485	-0.0249882	-0.101251	0.244666	0.0219845	-0.0389607
2600	64	-0.00437048	0.240568	-0.0205951	-0.0408399	-0.00897263	0.246424	-0.0192762	0.0123328
2800	82	0.000793614	0.250721	0.02944	0.0295252	0.0192121	0.263437	-0.0112645	0.0148737
3000	61	-0.00336027	0.23102	0.0245525	-0.0146739	-0.00402966	0.26163	0.0639761	0.0148291
3200	70	0.0253749	0.301588	0.0608377	0.0354085	0.0712873	0.229139	-0.0279331	-0.0510317
3400	84	0.138805	0.31052	-0.0278745	-0.0376562	0.0425532	0.260416	0.0718021	0.024889
3600	69	-0.00586795	0.211653	-0.014937	0.0059337	-0.0103523	0.250354	0.00494626	0.0195756
3800	71	-0.060601	0.290501	0.00548249	-0.0387328	0.0045717	0.283312	-0.0223005	-0.0356034
4000	76	-0.040679	0.277565	0.00928946	-0.0156943	0.0472672	0.277482	-0.00340754	0.0176758
4200	111	-0.541364	0.332261	0.0540926	0.0725913	-0.137302	0.356164	0.0472321	0.0725889
4400	82	-0.508847	0.393523	-0.000753809	-0.0386268	0.0626881	0.331051	0.0911934	0.06456
4600	111	-0.096081	0.399692	0.0343859	0.0506639	-0.380833	0.340509	-0.0212746	-0.0239733
4800	114	0.0745748	0.371626	0.0157869	0.0318848	-0.190888	0.321123	-0.00708931	-0.0123912
5000	95	-0.638585	0.355618	0.0709233	0.0705362	-0.112828	0.292303	-0.00596833	-0.00782705
5200	100	-0.333915	0.445103	0.0730469	0.0402579	-0.290337	0.388176	0.0787694	0.0260329
5400	93	-0.623305	0.361195	0.0689223	0.0509558	-0.257379	0.2818	-0.0125375	0.0384201
5600	103	-0.427506	0.364582	0.0922695	0.0559332	-0.229225	0.323159	-0.00184944	0.0473372
5800	105	-0.717836	0.519129	0.141435	0.0395147	-0.250511	0.378372	-0.0262515	0.0235018
6000	102	-0.335775	0.507397	0.127577	0.10015	0.110719	0.524237	0.137422	0.21505
6200	105	-0.548752	0.369609	0.0773506	0.0448779	0.235481	0.452474	0.0627519	0.086825
6400	93	-0.0178822	0.346255	0.134335	0.0378185	-0.0089522	0.38511	0.0292771	0.0750602
6600	92	-0.461039	0.338003	0.0867822	0.126319	-0.213768	0.356154	0.106584	0.119681
6800	107	-0.188033	0.442344	0.17888	0.147125	0.0631549	0.405239	0.0715689	0.112118
7000	89	-0.518416	0.474454	0.096846	0.050047	-0.409334	0.488893	0.0378553	0.0779563
7200	110	-0.490128	0.356702	0.03227	0.0586168	-0.252527	0.323946	0.0476508	0.0495342
7400	117	-0.424299	0.434977	-0.0211551	0.0595693	-0.345567	0.451562	-0.0114461	0.0691142
7600	97	-0.746136	0.426869	0.0907817	0.0718127	-0.353209	0.350749	0.0904282	0.0796464
7800	103	-0.18385	0.449845	0.0064319	-0.00607254	-0.133115	0.48617	0.12904	0.0882472
8000	109	0.0769359	0.401356	0.0273602	0.020017	-0.218561	0.345164	-0.028088	-0.0117051
